date,1. open,2. high,3. low,4. close,5. volume,increase_decrease,up_down,movement(%),MACD_Signal,MACD,MACD_Hist,SlowD,SlowK,RSI,ADX,CCI,Aroon Up,Aroon Down,Real Lower Band,Real Upper Band,Real Middle Band,Chaikin A/D,OBV,sentiment_avg_30,"coun_neg, 30","coun_neu, 30","coun_pos, 30",sentiment_avg_60,"coun_neg, 60","coun_neu, 60","coun_pos, 60",sentiment_avg_120,"coun_neg, 120","coun_neu, 120","coun_pos, 120",sentiment_night_before_avg,"count_neg, night_before","count_neu, night_before","count_pos, night_before",sentiment_morning_avg,"count_neg, morning","count_neu, morning","count_pos, morning",day,day compound avg,day positive avg,day negative avg,day neutral avg,two day neutral avg,two day positive avg,two day negative avg,two day compound avg,two day abc-news compound avg,two day reuters compound avg,two day the-new-york-times compound avg,two day business-insider compound avg,two day techcrunch compound avg,two day wired compound avg,two day abc-news neg avg,two day reuters neg avg,two day the-new-york-times neg avg,two day business-insider neg avg,two day techcrunch neg avg,two day wired neg avg,two day abc-news pos avg,two day reuters pos avg,two day the-new-york-times pos avg,two day business-insider pos avg,two day techcrunch pos avg,two day wired pos avg,two day abc-news neu avg,two day reuters neu avg,two day the-new-york-times neu avg,two day business-insider neu avg,two day techcrunch neu avg,two day wired neu avg,one day abc-news compound avg,one day reuters compound avg,one day the-new-york-times compound avg,one day business-insider compound avg,one day techcrunch compound avg,one day wired compound avg,one day abc-news neg avg,one day reuters neg avg,one day the-new-york-times neg avg,one day business-insider neg avg,one day techcrunch neg avg,one day wired neg avg,one day abc-news pos avg,one day reuters pos avg,one day the-new-york-times pos avg,one day business-insider pos avg,one day techcrunch pos avg,one day wired pos avg,one day abc-news neu avg,one day reuters neu avg,one day the-new-york-times neu avg,one day business-insider neu avg,one day techcrunch neu avg,one day wired neu avg
2018-08-24 09:30:00,345.99,349.65,344.55,347.9498,2394400,1.959799999999973,1,0.56,0.8865,0.6506,-0.23600000000000002,41.7897,51.3504,84.3051,38.1616,133.3333,100.0,75.0,334.7494,348.9455,341.8475,-502382.7306,-8243960.0,,,,,,,,,,,,,,,,,,,,,2018-08-24,0.79125,0.10666666666666666,0.05316666666666667,0.8401666666666667,0.8793333333333333,0.06933333333333334,0.051333333333333335,0.5955,,,0.9855,0.4005,,,,,0.044,0.054999999999999986,,,,,0.091,0.0585,,,,,0.865,0.8865,,,,,0.9855,0.6937500000000001,,,,,0.044,0.054999999999999986,,,,,0.091,0.10125,,,,,0.865,0.84375,,
2018-08-24 10:00:00,348.2,350.3411,348.2,349.357,1353317,1.157000000000039,1,0.33,0.9487,1.1973,0.2486,52.7076,68.4065,86.5214,47.713,81.4792,100.0,50.0,334.9072,353.2812,344.0942,-393108.9269,-6890643.0,,,,,,,,,,,,,,,,,,,,,2018-08-24,0.79125,0.10666666666666666,0.05316666666666667,0.8401666666666667,0.8793333333333333,0.06933333333333334,0.051333333333333335,0.5955,,,0.9855,0.4005,,,,,0.044,0.054999999999999986,,,,,0.091,0.0585,,,,,0.865,0.8865,,,,,0.9855,0.6937500000000001,,,,,0.044,0.054999999999999986,,,,,0.091,0.10125,,,,,0.865,0.84375,,
2018-08-24 10:30:00,349.5,352.08,349.4,352.0283,1267592,2.5283000000000015,1,0.72,1.1239,1.8251,0.7011,70.6268,92.1235,90.0705,56.0021,77.5467,100.0,25.0,337.4833,356.7692,347.1263,825579.6403,-5623051.0,,,,,,,,,,,,,,,,,,,,,2018-08-24,0.79125,0.10666666666666666,0.05316666666666667,0.8401666666666667,0.8793333333333333,0.06933333333333334,0.051333333333333335,0.5955,,,0.9855,0.4005,,,,,0.044,0.054999999999999986,,,,,0.091,0.0585,,,,,0.865,0.8865,,,,,0.9855,0.6937500000000001,,,,,0.044,0.054999999999999986,,,,,0.091,0.10125,,,,,0.865,0.84375,,
2018-08-24 11:00:00,352.093,352.75,350.3,351.19,815234,-0.90300000000002,0,-0.26,1.345,2.2293,0.8843,84.6859,93.5277,81.1319,62.6453,72.1786,100.0,0.0,346.9567,353.3058,350.1313,602644.8945,-6438285.0,,,,,,,,,,,,,,,,,,,,,2018-08-24,0.9978,0.1055,0.0275,0.867,0.8744,0.08379999999999999,0.0418,0.75642,,,0.99075,0.4005,,0.9996,,,0.0455,0.054999999999999986,,0.008,,,0.096,0.0585,,0.11,,,0.8585,0.8865,,0.882,,,0.996,0.6937500000000001,,0.9996,,,0.047,0.054999999999999986,,0.008,,,0.101,0.10125,,0.11,,,0.852,0.84375,,0.882
2018-08-24 11:30:00,351.345,353.28,350.9,353.06,699483,1.714999999999975,1,0.49,1.61,2.6697,1.0598,93.6915,95.4234,85.4319,68.002,100.6459,100.0,0.0,348.6944,354.1232,351.4088,1172811.2579,-5738802.0,,,,,,,,,,,,,,,,,,,,,2018-08-24,0.9978,0.1055,0.0275,0.867,0.8744,0.08379999999999999,0.0418,0.75642,,,0.99075,0.4005,,0.9996,,,0.0455,0.054999999999999986,,0.008,,,0.096,0.0585,,0.11,,,0.8585,0.8865,,0.882,,,0.996,0.6937500000000001,,0.9996,,,0.047,0.054999999999999986,,0.008,,,0.101,0.10125,,0.11,,,0.852,0.84375,,0.882
2018-08-24 12:00:00,353.0826,354.2529,353.0777,354.225,741462,1.1424000000000092,1,0.32,1.9034,3.0773,1.1739,94.7821,95.3953,87.7508,72.7117,118.75299999999999,100.0,0.0,350.3533,354.8984,352.6258,1879076.4852,-4997340.0,,,,,,,,,,,,,,,,,,,,,2018-08-24,0.9978,0.1055,0.0275,0.867,0.8744,0.08379999999999999,0.0418,0.75642,,,0.99075,0.4005,,0.9996,,,0.0455,0.054999999999999986,,0.008,,,0.096,0.0585,,0.11,,,0.8585,0.8865,,0.882,,,0.996,0.6937500000000001,,0.9996,,,0.047,0.054999999999999986,,0.008,,,0.101,0.10125,,0.11,,,0.852,0.84375,,0.882
2018-08-24 12:30:00,354.19,356.4111,353.7,356.2861,1003701,2.0960999999999785,1,0.59,2.2279,3.5260000000000002,1.2981,96.4102,98.4121,91.0946,77.3608,105.8553,100.0,0.0,349.9926,357.38800000000003,353.6903,2790222.372,-3993639.0,,,,,,,,,,,,,,,,,,,,,2018-08-24,0.9978,0.1055,0.0275,0.867,0.8744,0.08379999999999999,0.0418,0.75642,,,0.99075,0.4005,,0.9996,,,0.0455,0.054999999999999986,,0.008,,,0.096,0.0585,,0.11,,,0.8585,0.8865,,0.882,,,0.996,0.6937500000000001,,0.9996,,,0.047,0.054999999999999986,,0.008,,,0.101,0.10125,,0.11,,,0.852,0.84375,,0.882
2018-08-24 13:00:00,356.2092,356.81,354.71,355.4778,907084,-0.7314000000000078,0,-0.21,2.5369,3.7729,1.2359,95.4127,92.4309,79.7161,81.0155,72.1517,100.0,0.0,352.3086,357.2159,354.7622,2546450.0558,-4900723.0,,,,,,,,,,,,,,,,,,,,,2018-08-24,0.9978,0.1055,0.0275,0.867,0.8744,0.08379999999999999,0.0418,0.75642,,,0.99075,0.4005,,0.9996,,,0.0455,0.054999999999999986,,0.008,,,0.096,0.0585,,0.11,,,0.8585,0.8865,,0.882,,,0.996,0.6937500000000001,,0.9996,,,0.047,0.054999999999999986,,0.008,,,0.101,0.10125,,0.11,,,0.852,0.84375,,0.882
2018-08-24 13:30:00,355.3251,357.27,355.2,356.8935,718453,1.568399999999997,1,0.44,2.8368,4.0362,1.1994,93.8191,90.6143,84.2967,83.9692,96.8389,100.0,0.0,353.7228,357.7184,355.7206,3003553.0528,-4182270.0,,,,,,,,,,,,,,,,,,,,,2018-08-24,0.99855,0.13325,0.028000000000000004,0.83875,0.8561428571428571,0.10585714285714286,0.038,0.8258142857142857,,,0.9934,0.6003,,0.9996,,,0.03833333333333334,0.04766666666666666,,0.008,,,0.10366666666666667,0.10666666666666667,,0.11,,,0.858,0.8456666666666667,,0.882,,,0.99735,0.9999,,0.9996,,,0.035500000000000004,0.033,,0.008,,,0.11,0.203,,0.11,,,0.8545,0.764,,0.882
2018-08-24 14:00:00,356.88,358.97,356.6316,358.3601,1076739,1.480099999999993,1,0.41,3.1321,4.3135,1.1814,90.2679,87.7584,88.0304,86.8,128.4072,100.0,0.0,354.6457,358.8631,356.7544,3518631.2653,-3105531.0,,,,,,,,,,,,,,,,,,,,,2018-08-24,0.99616,0.1366,0.044600000000000015,0.8188000000000001,0.8414999999999999,0.111375,0.047125,0.8459125000000001,,,0.9934,0.6968749999999999,,0.9996,,,0.03833333333333334,0.0635,,0.008,,,0.10366666666666667,0.1175,,0.11,,,0.858,0.8190000000000001,,0.882,,,0.99735,0.99325,,0.9996,,,0.035500000000000004,0.07200000000000001,,0.008,,,0.11,0.1765,,0.11,,,0.8545,0.7515000000000001,,0.882
